"Key","Name_EN","Name_TH","Desc_EN","Desc_TH","Lore_EN","Lore_TH"
"Se_Star_Bismuth_I_RevealWorld","Mind's Eye","ตาจิต","When entering a world, reveal 2 random locations.","เมื่อเข้าโลก เปิดเผยตำแหน่งสุ่ม 2 แห่ง","When the girl looked at the world through her book, gingerbread houses waiting with the next adventure would appear in places that had been empty before.","เมื่อเด็กหญิงมองโลกผ่านหนังสือของเธอ บ้านขนมปังขิงที่รอการผจญภัยครั้งถัดไปจะปรากฏในสถานที่ที่เคยว่างเปล่า"
"Se_Star_Bismuth_I_SecretJournal","Secret Diary","ไดอารี่ลับ","Start your adventure with the Our Story Essence. Its quality increases by 50% every time you defeat 75 enemies and is completed when quality reaches 500%. When completed, this Essence increases Bismuth's Ability Power and Attack Damage by 10%, and enhances all buffs from Distorting Sprint by 30%.","เริ่มการผจญภัยด้วยแก่นเรื่องราวของเรา คุณภาพเพิ่มขึ้น 50% ทุกครั้งที่เอาชนะศัตรู 75 ตัวและเสร็จสมบูรณ์เมื่อคุณภาพถึง 500% เมื่อเสร็จสมบูรณ์ แก่นนี้เพิ่มพลังความสามารถและความเสียหายโจมตีของบิสมัท 10% และเสริมบัฟทั้งหมดจากวิ่งบิดเบี้ยว 30%",,""
"Se_Star_Bismuth_I_ShopDiscount","I'm Adorable","ฉันน่ารัก","The Gold price of items sold by Merchants is reduced by 5%.","ราคาทองของไอเทมที่ขายโดยพ่อค้าลดลง 5%",,""
"Se_Star_Bismuth_I_TreasureWithHealthPenalty","Beautiful Metal","โลหะสวยงาม","Start your adventure with the Metallic Crystal Essence. You can sell this Essence to Merchants for 200 Gold, or dismantle it for 120 Dream Dust. However, losing this shard will reduce your Maximum Health by 15%.","เริ่มการผจญภัยด้วยแก่นคริสตัลโลหะ คุณสามารถขายแก่นนี้ให้พ่อค้าได้ 200 ทอง หรือรื้อถอนได้ 120 ฝุ่นความฝัน อย่างไรก็ตาม การสูญเสียเศษนี้จะลดพลังชีวิตสูงสุด 15%",,""
"Se_Star_Bismuth_L_ContinuousSpeed","Light Footsteps","ก้าวเท้าเบา","While moving, Movement Speed gradually increases over 5 seconds, up to a maximum of 10%. This bonus disappears when you stop moving.","ขณะเคลื่อนที่ ความเร็วเคลื่อนที่เพิ่มขึ้นค่อยๆ ตลอด 5 วินาที สูงสุด 10% โบนัสนี้หายเมื่อคุณหยุดเคลื่อนที่","Worried about the girl's tiny bare feet? Don't be. She's not walking on rough ground—she's skipping merrily across fluffy clouds on her journey!","กังวลเกี่ยวกับเท้าเปล่าเล็กๆ ของเด็กหญิงหรือ? ไม่ต้อง เธอไม่ได้เดินบนพื้นขรุขระ—เธอกำลังกระโดดโลดเต้นข้ามเมฆนุ่มๆ ในการเดินทางของเธอ!"
"Se_Star_Bismuth_L_DodgeNoDashMoreCharges","Shift in Thinking","เปลี่ยนความคิด","Distorting Sprint no longer dashes, but gains 1 additional maximum charges.","วิ่งบิดเบี้ยวไม่พุ่งอีกต่อไป แต่ได้รับชาร์จสูงสุดเพิ่มเติม 1",,""
"Se_Star_Bismuth_L_SecondWindWithPenalty","Two Souls","สองวิญญาณ","When you take Fatal damage, you ignore that damage and become Invulnerable for 1 seconds. However, a random Memory is destroyed, and Identity Memories may also be destroyed. This can only occur once per game.","เมื่อคุณได้รับความเสียหายถึงตาย คุณจะเพิกเฉยความเสียหายนั้นและกลายเป็นอมตะ 1 วินาที อย่างไรก็ตาม ความทรงจำสุ่มจะถูกทำลาย และความทรงจำเอกลักษณ์อาจถูกทำลายด้วย เกิดได้เพียงครั้งเดียวต่อเกม",,""
"Se_Star_Husk_D_AttackDamage","Purpose of My Existence","จุดประสงค์ของการมีอยู่","Increases Attack Damage by 4.","เพิ่มความเสียหายโจมตี 4",,""
"Se_Star_Husk_D_CritAmp","Dance of Death","การเต้นรำแห่งความตาย","Increases Critical Strike Damage by 15%.","เพิ่มความเสียหายคริติคอล 15%",,""
"Se_Star_Husk_D_DamageAmpOnLowHpTarget","Merciless","ไร้ความเมตตา","All damage dealt to enemies with Health below 35% is increased by 15%.","ความเสียหายทั้งหมดต่อศัตรูที่มีพลังชีวิตต่ำกว่า 35% เพิ่มขึ้น 15%","To one devoid of emotion, showing mercy to enemies is nothing but the height of inefficiency.","สำหรับผู้ที่ปราศจากอารมณ์ การแสดงความเมตตาต่อศัตรูไม่ใช่อะไรนอกจากความไร้ประสิทธิภาพสูงสุด"
"Se_Star_Husk_D_DamageOverTimeCritWithPenalty","Life Neglect","ละเลยชีวิต","Reduces healing received by 30%, but when a Critical Strike lands, it deals additional damage equal to 15% of the damage over 2 seconds.","ลดการฟื้นฟูที่ได้รับ 30% แต่เมื่อคริติคอล จะสร้างความเสียหายเพิ่มเติมเท่ากับ 15% ของความเสียหายตลอด 2 วินาที",,""
"Se_Star_Husk_D_DarkAttackWithPenalty","Soul Oil","น้ำมันวิญญาณ","Your Maximum Health is reduced by 15%, but your Attack Speed increases by 8% and your basic attacks deal Dark damage.","พลังชีวิตสูงสุดลดลง 15% แต่ความเร็วโจมตีเพิ่มขึ้น 8% และการโจมตีพื้นฐานสร้างความเสียหายมืด",,""
"Se_Star_Husk_D_MovementSkillHaste","Soul Acceleration","การเร่งวิญญาณ","The Cooldown of all Dash and Teleport Memories is reduced by 10%.","คูลดาวน์ของความทรงจำพุ่งและเทเลพอร์ตทั้งหมดลดลง 10%",,""
"Se_Star_Husk_D_ScalingAdAndAtkSpd","Perceive, Learn, Adapt","รับรู้ เรียนรู้ ปรับตัว","Gain 1.5 Attack Damage and 3% Attack Speed each time you reach levels 5, 10, 15, and 20.","ได้รับความเสียหายโจมตี 1.5 และความเร็วโจมตี 3% ทุกครั้งที่ถึงเลเวล 5, 10, 15 และ 20",,""
"Se_Star_Husk_F_AS_AddedDurationOnHit","Chained Bloodlust","กระหายเลือดล่ามโซ่","During Annihilation Stance, each time your basic attack or sword energy hits an enemy, the duration increases by 0.2 seconds.","ในท่าทางทำลายล้าง ทุกครั้งที่การโจมตีพื้นฐานหรือพลังดาบโจมตีศัตรู ระยะเวลาเพิ่มขึ้น 0.2 วินาที",,""
"Se_Star_Husk_F_AS_NonUltimate","Controlled Madness","ความบ้าคลั่งควบคุม","Annihilation Stance becomes a regular ability with a 14 second cooldown. In this form, sword energy damage and attack damage bonuses are reduced by 40%. The stance lasts for 4 seconds and allows you to use other Memories while it is active.","ท่าทางทำลายล้างกลายเป็นความสามารถปกติที่มีคูลดาวน์ 14 วินาที ในรูปแบบนี้ ความเสียหายพลังดาบและโบนัสความเสียหายโจมตีลดลง 40% ท่าทางคงอยู่ 4 วินาทีและให้คุณใช้ความทรงจำอื่นได้ขณะทำงาน","After becoming an empty shell devoid of soul, he was able to control himself even more perfectly.","หลังจากกลายเป็นเปลือกว่างเปล่าปราศจากวิญญาณ เขาสามารถควบคุมตัวเองได้อย่างสมบูรณ์แบบยิ่งขึ้น"
"Se_Star_Husk_F_AS_NoShockwaveFasterAttack","Frenzied Blade Dance","การเต้นรำใบมีดคลั่งไคล้","Annihilation Stance no longer fires sword energy but attacks 100% more frequently.","ท่าทางทำลายล้างไม่ยิงพลังดาบอีกต่อไป แต่โจมตีบ่อยขึ้น 100%",,""
"Se_Star_Husk_F_LA_DodgeResetOnRed","Flow of Energy","การไหลของพลังงาน","Laceration's cooldown increases by 1 seconds, but casting Red Form resets Flash Step's cooldown.","คูลดาวน์ของการฉีกขาดเพิ่มขึ้น 1 วินาที แต่การใช้รูปแบบแดงรีเซ็ตคูลดาวน์ของก้าวแวบ","He surrenders to the flow and takes his steps—flawless and detached.","เขายอมจำนนต่อการไหลและก้าวไป—ไร้ที่ติและเฉยเมย"
"Se_Star_Husk_F_LA_QuickBlueForm","Rapid Draw","ชักเร็ว","Laceration's cooldown is reduced by 30% and Blue Form's cast time is reduced by 40%, but it no longer grants Invulnerability.","คูลดาวน์ของการฉีกขาดลดลง 30% และเวลาใช้รูปแบบน้ำเงินลดลง 40% แต่ไม่ให้ความเป็นอมตะอีกต่อไป",,""
"Se_Star_Husk_F_LA_SingleTargetCooldown","Precise Strike","การโจมตีแม่นยำ","If Laceration hits only one target, its cooldown is reduced by 30%.","หากการฉีกขาดโจมตีเป้าหมายเดียว คูลดาวน์ลดลง 30%",,""
"Se_Star_Husk_I_BossKillPlatinumCoin","Bounty","เงินรางวัล","When you defeat a boss, you have a 30% chance to obtain a Platinum Coin. This coin can refresh the Merchant's inventory.","เมื่อคุณเอาชนะบอส มีโอกาส 30% ที่จะได้รับเหรียญแพลทินัม เหรียญนี้สามารถรีเฟรชสินค้าของพ่อค้า",,""
"Se_Star_Husk_I_ShopIntimidation","Creepy One-Eyed Doll","ตุ๊กตาตาเดียวน่าขนลุก","Intimidate Merchants to lower item prices. If you succeed (50% chance), the Gold price is reduced by 50%. If you fail, it increases by 50%.","ข่มขู่พ่อค้าเพื่อลดราคาไอเทม หากสำเร็จ (โอกาส 50%) ราคาทองลดลง 50% หากล้มเหลว เพิ่มขึ้น 50%","He believes intimidation is the most efficient and convenient method. Of course, it doesn't work on the braver Jonas.","เขาเชื่อว่าการข่มขู่เป็นวิธีที่มีประสิทธิภาพและสะดวกที่สุด แน่นอนว่ามันไม่ได้ผลกับโจนาสผู้กล้าหาญกว่า"
"Se_Star_Husk_L_DodgeChargesAndRangeWithPenalty","Gunpowder Propelled Leap","การกระโดดขับเคลื่อนดินปืน","Flash Step's cooldown increases by 1 seconds, but its maximum charges increase by 1 and its travel distance increases by 10%.","คูลดาวน์ของก้าวแวบเพิ่มขึ้น 1 วินาที แต่ชาร์จสูงสุดเพิ่มขึ้น 1 และระยะทางเดินทางเพิ่มขึ้น 10%",,""
"Se_Star_Husk_L_DodgeCooldownOnKillOrAttack","Complete Immersion","การดื่มด่ำสมบูรณ์","When you kill an enemy or perform a basic attack on a boss, Flash Step's cooldown is reduced by 10%.","เมื่อคุณฆ่าศัตรูหรือทำการโจมตีพื้นฐานบนบอส คูลดาวน์ของก้าวแวบลดลง 10%",,""
"Se_Star_Husk_L_DodgeCooldownOnKillWithEmptyCharges","Transcendence","การเหนือธรรมชาติ","Flash Step cooldown is increased by 1 seconds. When you have no Flash Step charges and kill an enemy, its current cooldown is reduced by 40%.","คูลดาวน์ของก้าวแวบเพิ่มขึ้น 1 วินาที เมื่อคุณไม่มีชาร์จก้าวแวบและฆ่าศัตรู คูลดาวน์ปัจจุบันลดลง 40%","A puppet's body freed from emotional chains, efficient and perfect movements, and the center of a sea of blood.","ร่างกายหุ่นเชิดที่ปลดปล่อยจากโซ่อารมณ์ การเคลื่อนไหวที่มีประสิทธิภาพและสมบูรณ์แบบ และศูนย์กลางของทะเลเลือด"
"Se_Star_Husk_L_FatalHitProtectionWithPenalty","Emergency Repair","การซ่อมฉุกเฉิน","When you take Fatal damage, you ignore that damage and become Invulnerable for 1 seconds, but your Maximum Health is reduced by 15%. This can only occur once per game.","เมื่อคุณได้รับความเสียหายถึงตาย คุณจะเพิกเฉยความเสียหายนั้นและกลายเป็นอมตะ 1 วินาที แต่พลังชีวิตสูงสุดลดลง 15% เกิดได้เพียงครั้งเดียวต่อเกม",,""
"Se_Star_Lacerta_D_AbilityPower","Lizard's Intellect","สติปัญญาจิ้งจก","Increases Ability Power by 4.","เพิ่มพลังความสามารถ 4",,""
"Se_Star_Lacerta_D_AttackDamage","Premium Gunpowder","ดินปืนพรีเมียม","Increases Attack Damage by 4.","เพิ่มความเสียหายโจมตี 4",,""
"Se_Star_Lacerta_D_AttackRange","Improvised Scope","กล้องเล็งด้นสด","Increases Attack Range by 0.5m.","เพิ่มระยะโจมตี 0.5 เมตร",,""
"Se_Star_Lacerta_D_AttackSpeed","Loading Mastery","ความเชี่ยวชาญการบรรจุ","Increases Attack Speed by 6%.","เพิ่มความเร็วโจมตี 6%",,""
"Se_Star_Lacerta_F_HC_KnockbackAndSlow","Dirty Gunpowder","ดินปืนสกปรก","Hand Cannon always knocks enemies back and reduces their Movement Speed by 75% for 4 seconds.","ปืนใหญ่มือผลักศัตรูออกเสมอและลดความเร็วเคลื่อนที่ 75% เป็นเวลา 4 วินาที",,""
"Se_Star_Lacerta_F_HC_NearDamage","Barasus's Fury","ความโกรธของบาราซัส","Increases the damage dealt by Hand Cannon to nearby enemies by 150%.","เพิ่มความเสียหายที่ปืนใหญ่มือสร้างต่อศัตรูใกล้เคียง 150%","He never forgot that overwhelming power he witnessed from afar. And finally, he recreated it with his own hands.","เขาไม่เคยลืมพลังท่วมท้นที่เขาเห็นจากระยะไกล และในที่สุด เขาก็สร้างมันขึ้นมาใหม่ด้วยมือของเขาเอง"
"Se_Star_Lacerta_F_IR_AoEDamage","Explosive Ammunition","กระสุนระเบิด","Incendiary Rounds explode, damaging nearby enemies.","กระสุนเพลิงระเบิด สร้างความเสียหายต่อศัตรูใกล้เคียง",,""
"Se_Star_Lacerta_F_IR_MoreShots","Cartridge Belt","สายคาดกระสุน","Incendiary Rounds's cooldown increases by 2 seconds, but the number of bullets fired also increases by 2.","คูลดาวน์ของกระสุนเพลิงเพิ่มขึ้น 2 วินาที แต่จำนวนกระสุนที่ยิงก็เพิ่มขึ้น 2",,""
"Se_Star_Lacerta_F_PS_ChargeSpeed","Seasoned Aim","การเล็งผ่านประสบการณ์","Precision Shot's charge speed increases by 33%.","ความเร็วชาร์จของการยิงแม่นยำเพิ่มขึ้น 33%",,""
"Se_Star_Lacerta_F_PS_CooldownReset","Special Operation","ปฏิบัติการพิเศษ","Precision Shot's width decreases by 60%, but killing an enemy with the shot resets the cooldown.","ความกว้างของการยิงแม่นยำลดลง 60% แต่การฆ่าศัตรูด้วยการยิงรีเซ็ตคูลดาวน์",,""
"Se_Star_Lacerta_F_PS_SlowerStronger","No Such Thing as Overkill","ไม่มีคำว่าเกินไป","Precision Shot's charge speed decreases by 40%, but its damage increases by 50% and width by 30%.","ความเร็วชาร์จของการยิงแม่นยำลดลง 40% แต่ความเสียหายเพิ่มขึ้น 50% และความกว้าง 30%",,""
"Se_Star_Lacerta_F_QT_AddedCharges","Quick Reload","บรรจุเร็ว","Quick Draw's cooldown increases by 3 seconds, but it now recharges all at once.","คูลดาวน์ของชักเร็วเพิ่มขึ้น 3 วินาที แต่ตอนนี้ชาร์จเต็มทั้งหมดพร้อมกัน",,""
"Se_Star_Lacerta_F_QT_AttackEffect","Dream Ammunition","กระสุนความฝัน","Quick Draw triggers attack effects.","ชักเร็วทริกเกอร์เอฟเฟกต์การโจมตี",,""
"Se_Star_Lacerta_F_QT_RapidFire","Indiscriminate Barrage","ยิงสุ่มสี่สุ่มห้า","Quick Draw's charge count is reduced by 1, but it fires 6 shots.","จำนวนชาร์จของชักเร็วลดลง 1 แต่ยิง 6 นัด",,""
"Se_Star_Lacerta_I_BonusFromStones","Rewarding Collection","การสะสมคุ้มค่า","Breaking Gold Shards or Dream Dust Shards grants an additional 6 Gold and Dream Dust.","การทำลายเศษทองหรือเศษฝุ่นความฝันให้ทองและฝุ่นความฝันเพิ่มเติม 6",,""
"Se_Star_Lacerta_I_BossBounty","Wild Monster Hunter","นักล่ามอนสเตอร์ป่า","Gain an additional 45 Gold each time you defeat a Boss.","ได้รับทองเพิ่มเติม 45 ทุกครั้งที่เอาชนะบอส","<i>""Killing Monsters""</i>","<i>""ฆ่ามอนสเตอร์""</i>"
"Se_Star_Lacerta_I_ShopDiscount","Skilled Negotiator","นักเจรจาชำนาญ","The Gold price of items sold by Merchants is reduced by 10%.","ราคาทองของไอเทมที่ขายโดยพ่อค้าลดลง 10%",,""
"Se_Star_Lacerta_I_ShopMoreItemsWithPenalty","Northern Lizardman Bargaining","การต่อรองของจิ้งจกเหนือ","The Gold price of items sold by some Merchants is increased by 50%, but they offer 2 additional items for sale.","ราคาทองของไอเทมที่ขายโดยพ่อค้าบางคนเพิ่มขึ้น 50% แต่พวกเขาเสนอไอเทมเพิ่มเติม 2 ชิ้น","Northern Lizardmen usually have the upper hand in negotiations. Their unique coolness and logic play a part, but their emotionless eyes are simply too intimidating.","จิ้งจกเหนือมักมีความได้เปรียบในการเจรจา ความเย็นชาและตรรกะเฉพาะตัวมีส่วน แต่ดวงตาไร้อารมณ์ของพวกเขาน่ากลัวเกินไป"
"Se_Star_Lacerta_L_DodgeCharges","Lizard Oil","น้ำมันจิ้งจก","Dodge skill's cooldown increases by 1.5 seconds, but it gains 1 additional charge.","คูลดาวน์ของทักษะหลบเพิ่มขึ้น 1.5 วินาที แต่ได้รับชาร์จเพิ่มเติม 1",,""
"Se_Star_Lacerta_L_SpeedAfterDodge","Flexible Lizard","จิ้งจกยืดหยุ่น","Using Dodge increases your Movement Speed by 20% for 1.5 seconds.","การใช้หลบเพิ่มความเร็วเคลื่อนที่ 20% เป็นเวลา 1.5 วินาที","The Lizardman's remarkably flexible body is a tremendous asset in maintaining effective firing angles in any situation.","ร่างกายที่ยืดหยุ่นอย่างน่าทึ่งของจิ้งจกเป็นทรัพย์สินอันยิ่งใหญ่ในการรักษามุมยิงที่มีประสิทธิภาพในทุกสถานการณ์"
"Se_Star_Mist_I_CamillasGift","Camilla's Gift","ของขวัญคามิลลา","You begin your adventure with Camilla's Gift. Camilla's Gift sells for 100 and increases in value by 200 each time you enter a new world. However, if enemy damage drops your health below 50%, the gift is destroyed.","คุณเริ่มการผจญภัยด้วยของขวัญคามิลลา ของขวัญคามิลลาขายได้ 100 และเพิ่มมูลค่า 200 ทุกครั้งที่เข้าโลกใหม่ อย่างไรก็ตาม หากความเสียหายจากศัตรูทำให้พลังชีวิตลดลงต่ำกว่า 50% ของขวัญจะถูกทำลาย","The kindness of her patron, Camilla, was never one-sided. Surely, she remains a cherished bond for Mist as well.","ความเมตตาของผู้อุปถัมภ์ของเธอ คามิลลา ไม่เคยเป็นแบบข้างเดียว แน่นอนว่าเธอยังคงเป็นสายสัมพันธ์อันล้ำค่าสำหรับมิสต์เช่นกัน"
"Se_Star_Mist_L_PotionShield","Honey-Glazed Fruit","ผลไม้เคลือบน้ำผึ้ง","Health Potions grant a Barrier equal to 50% of the healing provided.","ยาฟื้นฟูให้เกราะป้องกันเท่ากับ 50% ของการฟื้นฟูที่ให้",,""
"Se_Star_Mist_D_AttackDamage","Astrid's Smithing","การตีเหล็กของแอสทริด","Increases Attack Damage by 3.","เพิ่มความเสียหายโจมตี 3","A younger sister's earnest prayers for her elder sister's safety are infused into the blade along with the sound of tempering.","คำอธิษฐานอย่างจริงใจของน้องสาวเพื่อความปลอดภัยของพี่สาวถูกผสมผสานเข้าไปในใบมีดพร้อมกับเสียงการชุบแข็ง"
"Se_Star_Mist_D_BonusOnDash","Strike the Weakness!","โจมตีจุดอ่อน!","After dash or teleport, gain 5 Attack Damage and 10% Critical Strike Chance for 2.5 seconds.","หลังพุ่งหรือเทเลพอร์ต ได้รับความเสียหายโจมตี 5 และโอกาสคริติคอล 10% เป็นเวลา 2.5 วินาที",,""
"Se_Star_Mist_D_BossDamageOnHighHp","Duelist's Focus","สมาธิของนักดวล","When your Health is above 90%, all damage dealt to any Boss is increased by 20%.","เมื่อพลังชีวิตเหนือ 90% ความเสียหายทั้งหมดต่อบอสใดๆ เพิ่มขึ้น 20%",,""
"Se_Star_Mist_D_HunterDamage","Finally, A Worthy Opponent","ในที่สุด คู่ต่อสู้ที่คู่ควร","All damage dealt to Hunters is increased by 20%.","ความเสียหายทั้งหมดต่อนักล่าเพิ่มขึ้น 20%","She has never lost a single duel, whether secret or official.","เธอไม่เคยแพ้การดวลแม้แต่ครั้งเดียว ไม่ว่าจะเป็นแบบลับหรือเป็นทางการ"
"Se_Star_Mist_D_ScalingAD","Dream-Infused Saber","ดาบชุบความฝัน","Gain 2 Attack Damage each time you reach levels 5, 10, 15, and 20.","ได้รับความเสียหายโจมตี 2 ทุกครั้งที่ถึงเลเวล 5, 10, 15 และ 20",,""
"Se_Star_Mist_F_FL_DecreasedCooldownAndCharge","Blooming Dream","ความฝันผลิบาน","Flèche comes with 2 fewer charges, but its cooldown is reduced by 6 seconds.","เฟลชมีชาร์จน้อยลง 2 แต่คูลดาวน์ลดลง 6 วินาที",,""
"Se_Star_Mist_F_FL_Lightning","Lightning Breath","ลมหายใจฟ้าผ่า","Flèche's damage is converted to Light damage, and you teleport instead of dashing.","ความเสียหายของเฟลชถูกแปลงเป็นความเสียหายแสง และคุณเทเลพอร์ตแทนการพุ่ง",,""
"Se_Star_Mist_F_FL_MaxRangeExplosion","Coup de Grâce","การโจมตีจบ","When Flèche hits at maximum range, its damage is increased by 80% and it explodes, damaging a wide area.","เมื่อเฟลชโจมตีที่ระยะสูงสุด ความเสียหายเพิ่มขึ้น 80% และระเบิด สร้างความเสียหายพื้นที่กว้าง",,""
"Se_Star_Mist_F_LG_IncreasedCooldownReduction","Cutting Through Wind","ตัดผ่านสายลม","Lunge deals 50% reduced damage, but you gain 100% increased cooldown reduction when Astrid's Masterpiece triggers.","การพุ่งสร้างความเสียหายลดลง 50% แต่คุณได้รับการลดคูลดาวน์เพิ่มขึ้น 100% เมื่อผลงานชิ้นเอกของแอสทริดทริกเกอร์",,""
"Se_Star_Mist_F_LG_RangeAndSpeed","West Wind","ลมตะวันตก","Increases the cast range of Lunge by 33%.","เพิ่มระยะใช้ของการพุ่ง 33%",,""
"Se_Star_Mist_F_LG_SingleTarget","Focused Strike","การโจมตีมุ่งเน้น","Lunge now hits only a single target, but its cooldown is reduced by 1.5 seconds and its damage is increased by 100%. It also knocks back enemies.","การพุ่งตอนนี้โจมตีเป้าหมายเดียว แต่คูลดาวน์ลดลง 1.5 วินาทีและความเสียหายเพิ่มขึ้น 100% และผลักศัตรูออกด้วย",,""
"Se_Star_Mist_F_PR_AllDirections","Wide Vision","วิสัยทัศน์กว้าง","Parry's cooldown is increased by 1.5 seconds, but you can parry attacks from all directions.","คูลดาวน์ของการป้องกันเพิ่มขึ้น 1.5 วินาที แต่คุณสามารถป้องกันการโจมตีจากทุกทิศทาง",,""
"Se_Star_Mist_F_PR_PerfectParry","The Best Offense is Defense","การโจมตีที่ดีที่สุดคือการป้องกัน","Parry's cooldown is reduced by 4 seconds, but the effective parry window is reduced by 40%.","คูลดาวน์ของการป้องกันลดลง 4 วินาที แต่ช่วงเวลาป้องกันที่มีประสิทธิภาพลดลง 40%","She never rushes. The most crucial opportunity comes the moment her opponent strikes.","เธอไม่เคยรีบร้อน โอกาสที่สำคัญที่สุดมาถึงในขณะที่คู่ต่อสู้โจมตี"
"Se_Star_Mist_F_PR_ShieldAndCrit","Charged Saber","ดาบชาร์จ","After successfully Parrying, your next attack becomes a critical strike, and you gain a shield equal to 250% of the parried damage that decays over 4 seconds. The shield's duration increases by 0.5 seconds each time you enhance Parry.","หลังป้องกันสำเร็จ การโจมตีครั้งถัดไปกลายเป็นคริติคอล และคุณได้รับเกราะป้องกันเท่ากับ 250% ของความเสียหายที่ป้องกันที่ลดลงตลอด 4 วินาที ระยะเวลาเกราะป้องกันเพิ่มขึ้น 0.5 วินาทีทุกครั้งที่คุณเสริมการป้องกัน",,""
"Se_Star_Mist_F_UD_ExplosionDamage","Determined Explosion","การระเบิดมุ่งมั่น","Unbreakable Determination's duration is reduced by 30%, but the intial explosion's damage is increased by 200%.","ระยะเวลาของความมุ่งมั่นไม่แตกหักลดลง 30% แต่ความเสียหายระเบิดเริ่มต้นเพิ่มขึ้น 200%",,""
"Se_Star_Mist_F_UD_HealLostHealth","Two Hearts","สองหัวใจ","Casting Unbreakable Determination restores 35% of missing Health.","การใช้ความมุ่งมั่นไม่แตกหักฟื้นฟูพลังชีวิตที่หายไป 35%",,""
"Se_Star_Mist_I_BonusOnCatPet","Cat Lover","คนรักแมว","Gain 800 Gold and 800 Dream Dust when petting a Cat.","ได้รับ 800 ทองและ 800 ฝุ่นความฝันเมื่อลูบแมว",,""
"Se_Star_Mist_I_StartGoldWithPenalty","Noble Lineage","สายเลือดขุนนาง","You begin your adventure with 150 Gold, but the Gold price of Merchant items is increased by 10%.","คุณเริ่มการผจญภัยด้วย 150 ทอง แต่ราคาทองของไอเทมพ่อค้าเพิ่มขึ้น 10%","Though the Verdesilver family has fallen, her nobility remains untarnished.","แม้ว่าตระกูลเวอร์เดซิลเวอร์จะล่มสลาย ความเป็นขุนนางของเธอยังคงไม่เสื่อมคลาย"
"Se_Star_Mist_L_AddedDodgeWithPenalty","Light Armament","อาวุธเบา","Damage taken from enemies is increased by 25%, but you gain 1 additional charge for your Dodge.","ความเสียหายที่ได้รับจากศัตรูเพิ่มขึ้น 25% แต่คุณได้รับชาร์จเพิ่มเติม 1 สำหรับการหลบ",,""
"Se_Star_Mist_L_ArmorWithPenalty","Plate Pauldrons","แผ่นไหล่เกราะ","Your Armor is increased by 15, but this effect disappears for 8 seconds when you take damage from enemies.","เกราะของคุณเพิ่มขึ้น 15 แต่เอฟเฟกต์นี้หายไป 8 วินาทีเมื่อคุณได้รับความเสียหายจากศัตรู",,""
"Se_Star_Mist_L_DodgeCooldownWithPenalty","Balestra","บาเลสตรา","Your Dodge has 1 fewer maximum charge, but its cooldown is reduced by 0.8 seconds.","การหลบของคุณมีชาร์จสูงสุดน้อยลง 1 แต่คูลดาวน์ลดลง 0.8 วินาที",,""
"Se_Star_Mist_L_MovSpeed","Light as a Feather","เบาเหมือนขนนก","Movement Speed is increased by 3%. When your Health is above 90%, this effect is increased by 50%.","ความเร็วเคลื่อนที่เพิ่มขึ้น 3% เมื่อพลังชีวิตเหนือ 90% เอฟเฟกต์นี้เพิ่มขึ้น 50%",,""
"Se_Star_Nachia_D_AbilityPower","Guardian of Order","ผู้พิทักษ์แห่งระเบียบ","Increases Ability Power by 4.","เพิ่มพลังความสามารถ 4","The order of the forest is simple and clear: life, death, and the cycle.","ระเบียบของป่าเรียบง่ายและชัดเจน: ชีวิต ความตาย และวัฏจักร"
"Se_Star_Nachia_D_CanineLover","Dog Lover","คนรักสุนัข","When a canine monster or summon dies nearby, Nachia becomes enraged for 5 seconds, increasing her Attack Speed by 15%. However, Nachia's damage to canine monsters is reduced by 30%.","เมื่อมอนสเตอร์สุนัขหรือผู้ถูกเรียกตายใกล้ๆ นาเชียโกรธเป็นเวลา 5 วินาที เพิ่มความเร็วโจมตี 15% อย่างไรก็ตาม ความเสียหายของนาเชียต่อมอนสเตอร์สุนัขลดลง 30%","She believes there are no bad dogs in this world.","เธอเชื่อว่าไม่มีสุนัขตัวไหนที่ไม่ดีในโลกนี้"
"Se_Star_Nachia_D_SkillHaste","Gentle Breeze","สายลมอ่อนโยน","Increases Memory Haste by 5.","เพิ่มความเร็วความทรงจำ 5",,""
"Se_Star_Nachia_D_SummonAtkSpd","Enhanced Ferocity","ความดุร้ายเสริม","Increases the Attack Speed of all summons by 9%.","เพิ่มความเร็วโจมตีของผู้ถูกเรียกทั้งหมด 9%",,""
"Se_Star_Nachia_F_MP_NachiaHeal","Pact of Destiny","สัญญาแห่งโชคชะตา","Nachia also receives 50% of the healing from Moonlight Pact's cast effect.","นาเชียได้รับการฟื้นฟู 50% จากเอฟเฟกต์การใช้สัญญาแสงจันทร์ด้วย",,""
"Se_Star_Nachia_F_MP_NoJump","Death Waltz","วอลทซ์แห่งความตาย","Moonlight Pact's charge count increases by 1, but on cast, Fenrir instantly slashes a wide circular area instead of leaping.","จำนวนชาร์จของสัญญาแสงจันทร์เพิ่มขึ้น 1 แต่เมื่อใช้ เฟนริร์ฟันพื้นที่วงกลมกว้างทันทีแทนการกระโดด",,""
